,in 2nd screen,IQR,4EBP1.pS65,AIB.1,AKT.pT308,AMPK,AMPKpT1729,Annexin,Baf.B,Bcl.2,Bid,BIM,CASP3.A,Catenine.B,Caveolin1,CDC2,Chk1,Chk1pS345,Chk2.pT68,cJun.pS73,CollagenVI,CyclinD1,DJ.1,EGFR,EGFRpY1173,eIF4E,ER.a.pS118,ERCC1,ERK2,ER.L,FAK,FN1,FOX03a,FOX03apS318,GSK3.Beta,GSK.pS21,HER2.L,Hif.L,IGFBP2,IGFR1b,IGFR1bpY1135,IRS.1,Jnk2,JNK.pT183,Kit.c,Ku80,Mre11.31HC,Myc,NFkBpS563,Notch3,p21,P27,P38.pT180,P53,PARP,PCNA,PDK1.pS214,Pea15.pS116,Pea15,PI3KP110,PI3KP85,PKC.alpha,PKC.pS657,PR,Rad50,Rad51,Raf.C.pS388,Raf.C,Rb.4H1,Rb.pS807,S6.pS235,Shc.pY317,Smad3,Snail,Stat3,Stat3pT727,Stathmin,Tau,TGM2,TSC2pT1462,TuberinTSC2,Vasp,VEGFR2,XBP.1.L,XRCC1,YAP.pS127,YAP,YB1.pS102,Y.Box.BP1,AMPKpS345.5,AMPKpS345.6,LKB1,4EBP1,4EBP1.L,53BP1.L,AR.L,ACC1,ACC1.LB,ACC1.LC,ACC1.pS79,ACC1pS79.LB,ACC1pS79.LC,AKT.pS473,AKTpS473.LB,AKTpS473.LC,AKT,AKT.LB,AKT.LC,AR.L,AR.L,Bak,Bak.L,BAX,BAX.L,Bcl.X,Bcl.xL,CASP7Asp198,CASP7Asp198.L,Chk2.1C12,Chk2.1C12.L,CLDN7.L,CLDN7.L,Cox.2,Cox.2.L,CCNB1,CCNB1.LB,CCNB1.LC,CCNE1,CCNE1.L,GAPDH,GAPDH,GAPDH.L,K.RAS,K.RAS.L,K.RAS.L,MAPK.pT202,MAPKpT202.LB,MAPKpT202.LC,MEK1pS2172.LC,MEK1.pS217,MEK1pS217.LB,MEK1,MEK1.LB,MEK1.LC,MSH2,MSH2.L,P38.MAPK,P38.MAPK.L,P70S6KpT389,P70SKpT389,P90RSKpT3593,p90RSKpT359,Paxillin,Paxillin.L,Pras40.pT246,Pras40pT246.L,PTEN,PTEN.LC,Rab25,Rab25.L,Rab25.L,S6.pS240,S6.pS240.LB,S6.pS240.LC,Src.pY416,Src.pY416.L,Src.pY527,Src.pY527.L,Stat3.pS705,Stat3.pS705.L,Stat5,Stat5.L,Stat5.L,Taz.pS79,Taz.pS79.L,Taz.pS79.L
hsa-miR-760,1,0.519984303,1.041700747,2.620626842,0.064413578,0.851603156,0.676259211,9.08562638,2.055017114,0.139282225,0.320337808,0.10370596,0.076226532,3.250354136,22.73993117,0.961990463,0.556453233,0.340388196,0.242917149,2.01296138,1.723391364,2.819469619,0.777115855,0.678676306,0.869549662,1.382167566,0.327412247,0.494625576,11.29066038,0.028767711,3.793142959,3.172738917,0.433733872,4.503465423,5.565317091,0.962786166,2.999077446,0.229900633,0.041276095,0.934433817,1.434529999,2.889549664,1.756826064,0.769903675,0.069895013,3.211840535,0.853028197,1.883188885,1.210149052,0.399683961,1.721874087,1.070100426,0.487676925,1.341893727,0.017624966,0.21931386,0.558085859,0.747816875,1.378587526,1,2.709389701,1.08888064,0.641858048,0.051680266,0.640785588,0.524596286,1.606130114,2.31549847,0.775860549,6.783546677,1.032033442,0.086414763,0.69089902,0.218723538,3.080256589,0.970807626,0.348040549,1.082211393,10.77350284,0.701985663,2.717989836,0.754059832,16.20913258,0.138284837,0.313114003,2.832079067,9.164610353,0.894540091,1.79254499,0.140167311,0.372158837,5.813568216,0.929899037,0.862844948,0.983213704,0.778448593,0.96006734,0.854357504,0.789301909,0.685268229,0.648502922,0.75989133,1.242485069,1.055395791,0.922424896,1.117931287,1.178117317,1.205662224,0.96077694,0.778448593,1.114613986,1.1077705,0.954951137,0.833437535,0.985666483,0.995619664,0.989058264,1.557123823,1.033551338,1.00128503,0.788324419,0.854999439,1.313218414,1.271813289,1.241299412,1.035100209,1.26538204,1.155225903,1.18617336,6.857289433,1.731574392,6.857289433,1.037321057,0.810440836,1.037321057,1.278719678,1.190368283,1.190398915,1.239166694,1.189475582,1.017795184,1.047033814,0.878321139,1.109387053,0.77788854,0.944577204,0.939757422,1.080393337,1.047690557,1.089948561,1.004717755,1.049485829,0.64527175,0.74166745,1.62008475,1.044103271,0.850673648,1.060873741,1.257782438,1.085060813,0.876423924,1.72959324,1.458372715,1.29559637,0.878300537,1.09550982,0.814594902,0.738828191,1.081205103,1.181416507,0.954104074,0.801802239,1.020686314,1.067162633,1.056808072,1.067162633
hsa-miR-630,0,0.519872044,0.957247215,3.233070975,0.083368308,0.742535131,1.258830911,9.734529945,1.82208802,0.149126021,0.333426153,0.173463558,0.074790382,2.481879287,29.68744288,1,0.723908742,0.403320369,0.288366796,1.333293974,1.739398563,3.39040817,0.69946946,0.535545125,1.420580561,1.296915414,0.409896839,0.431494254,12.53629581,0.040207813,5.866042859,3.535398849,0.447370858,4.058279435,5.816193706,0.996334788,3.564961183,0.301779835,0.041963585,0.731253311,1.695936396,3.896673776,1.864860338,0.677065376,0.074817956,3.661377166,0.745056946,2.254571685,1.50152745,0.491741149,2.032081268,1.425629145,0.715699046,1.649705461,0.021571277,0.272997234,0.95561098,0.747936171,1.291331404,0.831282495,2.565602644,1.195577108,0.883008092,0.041084843,0.694314071,0.563009586,1.848016621,3.053658449,1.018725828,6.458123276,0.664745321,0.112678587,0.758001958,0.204574302,2.027518368,0.72494221,0.339336045,0.243440622,8.580531804,0.804709534,3.958777696,0.630302565,9.371177038,0.094403124,0.382009677,2.238491601,13.0266845,1.047222332,2.231630517,0.128552788,0.330398813,6.480749445,1.300771693,1.234513602,1.263536709,1.122296766,0.907612484,1.011953278,0.949081899,1.208472302,1.411289849,1.223796616,0.891574362,0.788369186,0.842393211,1.030503562,1.072179796,1.011449593,1.094556443,1.122296766,1.072694118,1.13491437,1.279547607,1.21517424,1.013608423,1.166341112,1.218276069,0.902185756,0.925380655,0.933773562,0.934265425,1.209457592,1.10097135,1.098184682,1.481857094,1.568354474,1.485870427,1.213618983,1.274575775,0.909722909,1.05909155,0.909722909,0.799008012,0.834309428,0.799008012,1.16530486,1.166276699,1.114627683,1.077068465,1.065460884,1.192871227,1.109722174,1.115889121,1.080040656,1.211384827,1.084692568,1.115500305,1.007315672,0.755875488,0.822280326,1.014695891,1.231069994,0.910738084,0.901612366,0.900319417,1.110473329,1.18366414,1.188504692,0.762036012,1.081380714,0.839710494,0.729239967,0.750473021,0.759724542,1.081132662,0.952787521,1.014379361,0.939197144,0.965573904,1.075563623,1.174578635,1.215755285,1.234494103,1.252006543,0.961615247,1.252006543
hsa-miR-34b*,1,0.519746845,0.775825703,2.698537869,0.032739084,0.844489657,1.249400574,13.02880477,2.183057845,0.092538314,0.271635017,0.146251844,0.065067752,2.199761134,6.443428696,0.734999725,0.650893579,0.394982923,0.289500107,1.654229528,1.664537871,3.522349853,0.673195349,0.863154728,1.225457921,1.218365432,0.395631263,0.476755214,12.69302694,0.035853947,5.270613237,4.228440552,0.59552461,5.464562712,4.571129132,0.968292867,2.144686708,0.262186911,0.042373089,0.779603465,1.344994042,3.481723237,1.475087796,0.86089655,0.067497022,2.226591226,0.720326369,1.509826023,1.496210696,0.557175624,0.679113097,0.864745482,0.781247075,1.32567803,0.01842683,0.178345027,0.939349605,0.496608848,1.379363179,1,3.632645007,1.110468898,0.850942747,0.046243773,0.763384425,0.358188087,1.684775025,2.36434617,0.418139336,3.025782489,0.578384295,0.086169621,0.649893226,0.234182311,5.1867304,0.997587983,0.326508134,1.919493163,18.23695279,1.044008608,4.002663287,1.056384026,15.70647148,0.106684028,0.390484931,7.008357786,26.10254207,0.940861208,2.421494142,0.055952649,0.13507275,6.169564055,0.655551463,0.875704989,1.092554292,0.791106949,0.748387238,0.744593558,0.884865636,1.144366709,1.099015864,1.116202371,1.065056979,1.017671933,1.172476114,1.291846849,1.18145041,1.038377706,1.098070725,0.791106949,0.962273302,1.072394346,0.978054475,0.982033563,1.177364723,1.131023516,0.839428797,0.18482989,0.929703739,0.619328946,0.900050788,1.109211989,1.059536029,0.718826373,0.165956219,0.171047642,0.229267795,0.93620673,0.961724032,0.772986287,0.590106206,0.772986287,0.95741492,1.119561415,0.95741492,1.194585071,1.264031064,1.027366288,0.979357411,1.052395793,1.082400751,0.877249884,0.983724096,0.879158457,0.669051718,0.857479392,1.060671846,1.032046284,0.720944738,0.663804244,1.003682733,0.974023297,1.674169657,1.536398728,1.152015835,1.015473728,1.196756396,1.118054589,1.120292955,0.992308834,1.19393131,0.59333885,0.464403156,0.637458102,1.11169658,1.063913217,0.924826684,0.696270969,1.083601376,1.103893301,0.93772826,0.882779178,0.759810408,1.029415081,1.038415224,1.029415081
hsa-miR-483-3p,1,0.519658085,0.818803478,2.190868508,0.111042932,0.684247562,1.245359643,11.09064439,1.677093207,0.114440765,0.29383113,0.168597625,0.059585499,2.576058698,17.54568695,1.158907292,0.619418101,0.40888101,0.296065812,2.183203555,1.296795276,1.922605514,0.666421607,0.742629193,1.033686623,0.8775286,0.382252124,0.527376218,12.05797753,0.042812857,4.57582171,3.443077987,0.569055428,4.288504257,4.859187764,1.175911714,2.756220138,0.341796121,0.029473041,1.295357672,1.980272927,2.62560475,2.181432688,0.653139014,0.057454237,3.421991836,0.786410751,3.559424897,1.606068115,0.56823293,1.513797835,1.041737243,0.961045529,1.263066312,0.016712992,0.204978343,0.788823674,0.565097846,1.034248247,1.01117198,3.737099679,0.915577757,0.717234643,0.052417324,0.620163548,0.469738438,2.032991972,2.743799153,0.699829495,5.638071274,0.594686809,0.113144172,0.507146047,0.188806373,2.69765903,0.698688408,0.382111857,0.628216198,8.468604306,0.959544083,3.672771821,0.906200374,12.98523888,0.120540205,0.413201029,1.027275919,9.890977004,1.233622313,2.77572079,0.118678877,0.309091311,5.745472113,0.941725,1.02563214,0.912644245,0.847411683,1.232286881,1.118751092,1.020542852,1.488583486,1.375004686,1.320511568,1.417993123,1.299109145,1.144711908,1.057853377,1.119329258,0.967500186,0.992024226,0.847411683,1.237946465,0.950051028,1.297869272,1.291887772,0.946747986,0.93474304,1.638765806,1.273094956,1.124012737,1.330145813,1.153695319,0.911980374,0.946990883,1.014510902,1.19303417,1.13914256,1.015035545,1.189460511,1.304578983,3.083010136,1.766133634,3.083010136,1.261951286,1.233719159,1.261951286,1.253937396,1.149287482,1.056206085,1.21541006,1.364672384,1.104855347,0.89651533,1.021864162,0.967731285,1.278813046,0.80399732,0.94079202,0.953431301,0.776717873,0.751422213,0.892745455,0.842853475,0.957913174,0.993210566,1.176603392,1.170411709,1.232492301,1.352331723,1.150311095,0.835929406,0.835312604,0.532897788,0.650101147,0.68679182,0.881185492,0.884950431,1.059152171,1.240724394,0.892840766,0.862574552,1.060392149,1.000392415,1.021473484,0.916829549,1.127241226,0.916829549
hsa-miR-302f,0,0.519225058,1.485001387,1.06119169,0.137507822,0.704138492,0.966511071,9.847067411,1.424467208,0.107504707,0.276201018,0.202213655,0.054820873,2.085317233,14.76610507,0.732281419,0.612899274,0.427365213,0.244201634,1.573167184,1.292168569,2.717768116,0.623567714,0.628747371,0.966642868,0.999003619,0.399228458,0.347299928,11.93354923,0.035348347,3.833861268,2.803122795,0.486370808,4.060348308,5.834861689,1.530925777,2.495467091,0.220459066,0.031239951,1.08804399,1.56188221,2.954015862,1.422298275,0.541272447,0.066648003,3.431187412,0.76295257,3.395993958,1.228082649,0.394524817,1.920962274,0.688336375,0.721135604,1.131971996,0.01823622,0.290427465,0.721748491,0.600772539,1.386132545,0.782787432,2.826000533,1,0.802898736,0.054854347,0.665171329,0.588484435,1.727645995,2.546269864,0.63269606,4.985735343,1.055593603,0.09457703,0.509879591,0.220091649,2.525880109,0.968246212,0.400354642,0.289380732,7.148319625,1.045637413,2.90109371,0.78664668,10.68705428,0.134615925,0.358260747,2.683440359,13.20879233,1.065351804,2.001807668,0.16416951,0.440751136,5.541268764,1.187678007,1.144020547,1.121929225,0.923391067,0.860010477,0.872710668,0.852980142,1.015762213,0.83769916,0.809037676,2.216794071,2.378410886,1.576013767,1.073799277,1.093133583,1.21424213,0.817299935,0.923391067,0.843643193,0.890544842,0.883926112,0.928763701,0.960301677,0.866235319,0.782966657,0.809860113,0.82856877,1.001929345,0.824757712,0.896905792,0.86470227,0.820384436,0.775817092,0.820610448,0.790120866,1.245939676,1.119288954,0.95311007,0.86524979,0.95311007,0.836578367,1.129511342,0.836578367,1.196310711,1.148714497,1.306759438,0.979739911,1.026874889,0.99132434,1.055063778,0.946244159,1.252386788,0.874203638,1.049477915,1.136119065,1.038525523,1.388311573,1.393408607,1.065276574,0.948919819,1.031611432,0.924790452,1.663756191,1.454341999,0.859120359,0.859096642,0.857577694,0.793622941,0.860937685,1.461128013,1.498241502,1.406047738,0.901199648,0.832366023,0.918611746,0.871539462,0.953125403,0.848173857,0.937780419,0.986213949,0.944709159,1.018591762,1.081749829,1.018591762
hsa-miR-199a-5p,0,0.518383623,1.391406888,2.893087501,0.10543505,0.740456636,0.980380755,8.693784857,2.394692327,0.136570209,0.291930063,0.151177188,0.06317831,2.782404232,14.3868175,0.988370705,0.662384484,0.417398555,0.270909881,1.909991869,1.507743612,3.431827224,0.630148444,0.755018482,1.240538405,1.281515411,0.404877739,0.43346364,11.92394091,0.033412935,3.915543673,4.763242941,0.582386698,4.231739406,4.956395389,1.17649411,2.983828265,0.253223041,0.032331354,0.950500513,1.148095982,3.391753317,1.485305775,0.683657175,0.126111193,3.89281817,0.591609352,2.796877756,1.154806253,0.401065985,2.620659735,0.606139269,1.721030359,1.310697242,0.019925157,0.245415935,0.84109853,0.655566866,1.226338059,0.938573328,2.797858991,1,0.776090581,0.035190082,0.7382289,0.547171619,1.897219084,3.426459448,0.793908352,6.229657217,1.209011499,0.12765173,0.490796208,0.193480656,1.9505247,0.782474445,0.332633995,0.665484514,5.984185942,0.816562565,3.359616363,0.720946052,8.975880898,0.101418513,0.394407495,3.171563461,12.25941383,0.950696096,2.522436983,0.13913052,0.308202141,5.804460979,1.118366874,1.154755186,0.822083053,0.971681476,0.981750821,0.920620661,0.86793941,0.878346698,0.88209454,0.809022532,1.212359683,1.582401627,1.168986685,0.805786358,0.734746485,0.717405499,0.979908652,0.971681476,8.972341868,0.940652962,1.004936091,0.975517539,0.77269863,0.759698319,0.597607461,0.861232958,1.0388147,1.092515567,0.740766107,0.862143943,0.80457262,0.649108263,1.320698983,1.461326271,1.396726335,1.030143904,0.985222518,0.766156984,0.721740656,0.766156984,0.774734554,1.131506053,0.774734554,0.834637328,0.904013029,0.772961906,0.642642238,0.760585643,0.715511619,0.977376045,1.007346894,0.933401964,1.075358145,1.173383177,0.994215074,0.989856453,1.364749575,1.244321513,1.217630398,0.985156332,0.646231596,0.617405773,1.02968389,1.19179344,0.931855688,0.961512385,1.140434119,1.00330401,0.695147434,1.335305288,1.327119103,1.134594965,0.95986681,0.87892632,1.14951836,1.164846399,1.053494043,1.057286496,0.793718383,0.833808965,0.856682771,0.977479476,0.817259319,0.977479476
hsa-miR-889,0,0.518161479,1.43989543,2.531909085,0.119722585,0.904216536,1.008987557,8.50077903,1.673453314,0.155795796,0.318972978,0.177706974,0.042951184,2.160216299,24.13536703,1.075022608,0.678337437,0.351845058,0.332852648,3.499114178,1.338155292,2.503668025,0.693276149,0.622681986,1.003912436,1.305345198,0.405407704,0.485394352,11.21279674,0.04164603,5.898582302,4.346420601,0.732915443,4.134997747,4.548508192,0.97443502,3.008678174,0.278403795,0.036022069,1.217866828,1.150567078,2.583434881,1.780089209,0.551344721,0.065949236,3.959664684,0.692483037,2.890408319,1.113138451,0.826554692,1.825379589,0.875919482,0.606896718,1.564905542,0.021564607,0.200113509,0.842526945,0.670999407,1.0000753,0.981939194,4.361291077,1.010038731,0.806812692,0.050140861,0.769957173,0.501419255,1.519408478,2.587495656,0.704748896,5.595524801,0.798110123,0.115816062,0.576212329,0.222913904,3.488838199,0.818075549,0.40105623,1.107492758,9.164341046,0.745554976,3.395104655,1,9.865539164,0.132760846,0.418329367,1.656673263,11.7702001,0.860780112,2.400724161,0.136190239,0.355587821,5.167723769,1.322497899,1.276311537,0.824707678,0.838836117,0.888173489,0.920444952,1.01334313,1.020227934,0.910750759,1.041400138,1.068223746,0.850923982,0.850388306,0.840816158,1.29459226,1.284498393,0.855422003,0.838836117,1.022003877,1.201984142,1.049604987,1.282322297,1.024767112,1.083284902,1.314083063,1.582829546,0.899584731,1.242288454,1.336542005,1.206774103,0.81709227,0.952302571,0.751221606,0.729949748,0.821362892,1.023844538,1.023357296,0.935603193,0.760225112,0.935603193,1.137074231,1.061576225,1.137074231,0.885131835,1.663170363,0.676180921,0.848257676,0.777356722,0.731599496,0.667323802,0.68904819,0.735548423,0.78674144,1.235192315,0.950668237,1.054927046,1.234921422,1.107969755,1.032998213,1.099654641,0.958157853,1.032264026,3.65707097,1.040763809,0.704553536,0.968401197,1.186680056,1.383387883,0.987112015,0.89188816,1.021228211,1.035602613,0.941590443,0.804510957,0.956850995,1.028217568,0.820823925,0.95549509,1.124715163,1.188094498,1.1060553,1.218494466,1.173541322,1.218494466
hsa-miR-125b,0,0.517672014,1.084368326,2.068967262,0.072669348,0.679436745,0.549012211,9.161899563,1.328749087,0.110989499,0.255360207,0.100840647,0.056231597,2.058493726,15.99712581,0.891305661,0.638549002,0.336872588,0.25368156,1.30278683,1.345594037,3.159510689,0.549617112,0.803904635,1.169913535,1.128938531,0.291751244,0.422948027,10.73818135,0.026380573,2.928911195,5.543596031,0.464059511,4.579448443,3.823172616,1,2.436392961,0.222267247,0.025210356,1.216040606,1.649102565,2.829817182,1.176228396,0.629151148,0.029452189,3.251837074,0.588434411,2.60488181,1.778491887,0.453113671,0.834379854,0.732952153,0.552823167,0.763136124,0.015656043,0.211294954,0.714616371,0.559153489,1.295332712,0.790182471,2.789123726,0.726656858,0.598915143,0.032078879,0.650976936,0.475869646,1.565007695,2.707007609,0.864436451,7.333594334,1.729684624,0.050947416,0.44842809,0.161646333,2.761659444,0.674987527,0.317579474,0.651028731,10.11271891,1.012375447,3.300362741,0.664067689,10.0168284,0.101174743,0.36806732,3.722003042,12.85727789,1.101937023,1.394511937,0.081395864,0.203703747,4.452764038,0.725941752,0.84926727,0.9586891,0.983243557,1.174520356,1.166413221,1.105867222,0.975809752,1.229130474,1.073908531,1.376419089,1.653759117,1.758120141,0.95627555,0.892098899,0.851617372,0.493070872,0.983243557,0.768107811,0.760945294,0.797791773,0.692748807,0.673729191,0.892387924,0.583134242,0.670641218,0.897705467,0.808649046,0.798703517,0.751232231,0.916724875,0.605453962,1.191554007,1.142328893,1.16340444,0.889998886,0.876407051,0.693512611,0.556945986,0.693512611,0.910428317,0.760689891,0.910428317,1.127198847,1.191769716,0.88635495,0.836319273,0.956597555,0.967953515,1.000009078,1.029022273,0.912594582,0.988015792,1.291264067,0.76070292,0.704882643,1.405993248,1.140773683,0.850787503,0.873209368,0.729738788,0.709987986,0.960842127,1.052827773,0.94464756,0.836483166,0.972100413,0.890863389,0.850768454,1.885973803,1.685611013,1.472024107,0.941406615,0.868199538,0.983189539,1.045059568,0.988014119,0.935972272,0.839799003,0.865284163,0.819392958,0.99007698,0.90314237,0.99007698
hsa-miR-1275,0,0.517644056,1.000250245,2.082650376,0.083784939,0.69704751,1.094652936,11.34804398,1.606509193,0.122313231,0.260431463,0.146896135,0.072419361,2.351249952,26.58302305,0.932716331,0.556996989,0.365907285,0.257473504,1.755829522,1.352789669,1.714042901,0.715809134,0.617449721,1.141103686,1.271292636,0.362768726,0.398467552,13.38828039,0.0295801,4.351050832,3.164393072,0.535860815,4.37967807,5.610695547,1.222095603,2.485924724,0.238190517,0.039094556,0.732950687,1.086183091,2.41882265,2.166075184,0.692530012,0.048383929,3.623959672,0.663236209,1.944053827,1.107525699,0.444009723,1.70163973,0.83648816,1.549723594,1.09366621,0.027529004,0.221489427,0.679661569,0.591600974,1.095970316,0.885813998,3.272249694,0.969119559,0.687822854,0.038578775,0.745143949,0.472215059,1.52179105,2.322292247,0.783040074,6.328614632,1.393708988,0.081015464,0.506020449,0.206931261,2.501384042,0.627355108,0.335899599,1.488800657,9.185090018,0.585833723,2.353040675,0.886357376,14.63435766,0.133366914,0.34282977,3.731533548,14.27175374,1.289250256,2.131067294,0.116205147,0.328068374,5.639415105,0.91500618,1.014069026,0.842106582,0.903414928,0.923053742,0.933311458,0.92517781,0.944551717,1.03872462,0.931911862,0.881358532,1.128897799,0.931313764,1.095101264,1.166536093,1.282024865,0.901574117,0.903414928,1.228685436,0.96386031,0.853147435,0.877189451,0.932330842,0.988430924,1.3620696,1.345632164,0.681087467,1.304126521,0.929098405,0.960223676,0.935607282,1.082834009,1.18918045,1.276010636,1.260688052,1.01131271,1.015085886,1.351917439,1.560110483,1.351917439,0.941326478,1.040864016,0.941326478,1.021588188,1.118740394,1.239795761,0.93537762,0.869851994,0.899767022,1.263959384,1.136457328,1.42957265,0.973817343,0.911463813,1.037747332,1.073019241,1.340497516,1.328452334,0.82048587,0.80499639,0.855699076,0.888774868,0.85397203,0.882778908,0.998149546,0.956279731,0.94279473,0.929722017,1.224451409,1.822093336,2.06329265,1.618389316,0.839628572,0.844883595,0.968070283,1.016502769,0.828547787,0.819627596,0.838197534,0.839264306,0.855301082,0.993447619,0.957100376,0.993447619
hsa-miR-551b*,0,0.517192694,1.155989241,2.239293262,0.064529656,0.846294388,1.37301628,9.99182037,2.148100099,0.154765154,0.319598277,0.154421421,0.076392209,3.534467024,32.89326248,0.799941857,0.772540164,0.371537957,0.286280016,2.049816554,1.557948689,2.598996922,0.831246867,0.869879866,0.91621056,1.50343235,0.447563546,0.374886625,11.9825865,0.036346491,6.260334423,4.655481422,0.667469723,4.829398141,6.1753049,1.079076402,3.65618575,0.282662844,0.044871732,0.809919034,1.21012589,3.259557196,2.236875936,0.77279681,0.077943595,4.206262516,0.804647643,2.382543721,1.744907073,0.395191163,1.253030986,1.254931,0.765013231,1.401665056,0.01613548,0.312103997,0.897363334,0.56166921,1.456078591,1,2.8245941,1.676764155,0.688840587,0.04932087,0.926211692,0.64993719,1.976930397,2.779465876,0.908205541,5.997357575,0.888024327,0.10866556,0.728038506,0.22873758,3.775592777,0.853439571,0.394768409,0.891149878,13.44167886,0.758729183,3.305876456,0.957756859,12.32259732,0.337881557,0.336752036,3.214406277,8.594136576,1.137961693,2.983783708,0.1615005,0.410576348,5.526702063,1.236296888,1.170412082,1.13078996,0.848663492,1.150849943,1.050091858,1.135235457,1.356913003,1.693178294,1.421053172,1.047794029,0.854898071,0.837651641,1.231641355,1.056815389,1.147662317,0.945556269,0.848663492,1.209016561,0.916121643,1.211241068,1.344393948,1.278412697,0.976299179,1.024305879,0.975128629,1.289360923,1.202006432,1.381572695,1.064390714,1.203034859,1.40911926,0.80651001,0.815971788,0.711021323,1.032448129,1.138832815,4.664333881,2.971017965,4.664333881,1.075392884,0.991743758,1.075392884,1.1990734,1.052706726,1.107424783,1.195237362,1.216696879,0.957879219,1.349462504,1.012764189,1.126195767,0.883397853,0.787712287,1.123334675,1.189414364,1.129007418,1.249656568,1.066633223,1.215328253,1.074226465,1.024351201,1.088485624,1.124006647,1.305798451,1.274579793,1.144396194,0.763169986,0.759783131,1.02484585,1.213635478,1.190520043,1.092450882,1.206969263,1.078823176,1.357035695,0.856550206,1.247022747,1.240952232,1.168526788,1.290798558,0.909989477,1.093212824,0.909989477
hsa-miR-218-1*,0,0.51684448,1.101239307,2.469047737,0.078796745,0.682103781,0.896488466,11.83356375,1.482581259,0.112820387,0.354685359,0.205370961,0.072715729,2.419477319,26.61792847,1.268666316,0.688518932,0.348251883,0.29699299,2.049162121,1.548643563,3.910989545,0.770110057,0.97982639,1.435903036,1.141364502,0.395884886,0.550208457,11.90110671,0.047107405,5.154637422,6.008578925,0.706236628,5.687521022,4.800857765,1.08844667,2.705040432,0.250191351,0.045238817,1.282431543,1.219273021,5.031483911,1.241624006,0.851531751,0.053505043,4.009358481,0.624769851,2.256591856,1.21907227,0.517842378,2.054869601,1.188853031,0.780306171,1.626118306,0.017356013,0.217755076,0.769327151,0.772350901,1.124905999,0.843613338,2.744872064,1.01043691,0.828241135,0.040863319,0.834065306,0.596822538,1.448767436,3.158535112,0.878404026,7.709011749,0.680364199,0.101330066,0.487041261,0.293330346,2.235628963,0.856962099,0.451469698,0.990339643,11.71697645,0.746877779,3.167771224,0.856761267,16.48935138,0.130307091,0.512274168,4.331364666,14.69164502,0.998054698,1.991498591,0.173083065,0.461878844,6.268309191,1.283067088,1.196645507,1.35167051,1.347992829,1.084695536,1.111178578,1.212969448,1.324753649,1.432980042,1.390917455,1.23167669,0.958390777,1.036816942,1.080135252,1.270054205,1.264976812,1.340121261,1.347992829,1.127785329,1.25076933,1.038733818,1.072025678,1.025408822,1.136693506,0.874896425,0.99777857,0.765428021,1.02814784,0.908712604,0.94009431,1.124839476,1.12135788,1.564081716,2.086914911,2.250279583,0.82119917,0.815576122,0.96407329,0.825616889,0.96407329,1.026486617,1.161007674,1.026486617,0.928106739,1.082971756,1.101269108,0.841363041,0.833678325,0.794161932,1.063233894,1.093681464,1.067894807,1.154178241,1.275276148,1.002358821,1.107815402,0.798562295,0.747472761,0.869547991,0.893423968,1.000083265,1.055240258,0.868782193,0.940193558,1.225166485,1.345548774,1.336228534,1.082029855,0.915958359,0.849495735,0.820704768,0.862624501,1.096842394,0.931454063,0.89692475,0.816283683,1.551135103,1.40654807,0.979561071,0.928678745,0.89069561,1.278002006,1.124998321,1.278002006
hsa-miR-130b*,0,0.516793509,0.852187731,2.124269579,0.100091073,0.636606748,1.347119384,10.97960796,1.400675303,0.109607863,0.22580976,0.136789455,0.052130974,2.628020859,20.43341304,0.788460856,0.535258559,0.472432904,0.298900789,2.014441813,1.260516918,2.082823624,0.644220651,0.792210181,1.056143657,1.409092006,0.413577149,0.441505578,11.33794953,0.033527804,5.218343519,3.548589525,0.614953377,4.759242763,4.818541842,1.203324465,3.144047901,0.210584469,0.038726242,0.900820876,1.344803765,3.116486213,1.832913074,0.941471604,0.050358321,3.460106716,0.602066424,2.813128557,1.351244031,0.523469049,1.175564672,0.854647773,1,1.127140622,0.023937061,0.209584447,0.841056015,0.513523825,1.138587424,0.983199165,2.723973272,0.946342167,0.668679863,0.036368085,0.645868685,0.519876105,1.450896613,2.376873854,0.771907374,6.152286271,0.581303767,0.095545272,0.536973932,0.166226588,2.351007581,0.873969556,0.345231318,0.87589999,7.349496451,0.583939985,2.673042888,0.748800884,14.00329279,0.143779298,0.335525867,2.841790405,10.26757093,1.263849719,1.946558189,0.142961302,0.345408059,6.023291203,0.772488793,1.003099381,0.93210924,0.81088973,1.103286065,1.159194318,1.069095812,1.618949297,2.005061866,1.500476466,0.725626887,0.751581212,0.732419283,0.938058533,0.979123073,1.042696768,0.813981289,0.81088973,1.030551949,1.042225298,0.815938967,0.935829882,1.081483377,1.013728393,0.934825464,0.769245063,0.843265095,1.348441149,1.091397581,1.482983336,1.123682977,1.358715709,0.910105418,0.963514531,0.933828883,1.138016902,1.154425292,2.344024909,1.679043798,2.344024909,0.97359266,0.529931996,0.97359266,0.983317334,0.96701485,0.989275712,0.946385366,0.88561357,0.866431282,1.00651597,0.950984563,1.105652038,0.803288361,0.84380568,1.003575786,1.015477046,0.78111119,0.794106514,0.995990731,1.13280891,1.217686186,1.182656656,0.91636464,0.86533333,1.019647035,1.041204521,0.927589596,0.750671234,0.674234968,0.617646619,0.766307293,0.72509125,0.807444753,0.893964703,1.056884943,1.221679337,1.268973077,1.348204253,0.884051935,0.886108765,0.915208527,1.078551025,1.093497447,1.078551025
